item_id,file_type,language,is_restricted,ocr_text_extracted,collection_id,subject_tags,file_size_mb,num_pages_or_frames,content_length_tokens,access_count_30d,duration_seconds,upload_year,upload_day_of_year,num_detected_objects
ITEM-0000032,text,fa,false,false,COLL-020,"audio interview,metadata quality,training material",10.39,201,27846,13,39.14,2017,55,0
ITEM-0000033,text,it,false,true,COLL-006,"accessibility,audio interview,training material",16.76,346,19086,9,34.43,2020,79,1
ITEM-0000034,pdf,fr,true,true,COLL-016,"accessibility,policy,metadata quality",13.45,170,29613,19,40.22,2017,190,1
ITEM-0000035,pdf,fr,false,true,COLL-004,"thesis,digital preservation",17.78,246,27818,18,23.33,2019,176,1
ITEM-0000036,pdf,it,false,false,COLL-020,"policy,poster",16.18,177,23265,16,55.75,2020,44,0
ITEM-0000037,text,it,false,true,COLL-009,"policy,thesis,audio interview",16.39,278,22952,16,51.21,2023,125,0
ITEM-0000038,pdf,de,false,true,COLL-007,metadata quality,9.08,213,16005,9,28.14,2016,202,0
ITEM-0000039,image,en,false,true,COLL-013,"machine learning,video lecture",8.45,155,7040,17,55.91,2019,135,1
ITEM-0000040,pdf,zh,false,true,COLL-011,"linguistics,metadata quality,digital preservation",6.32,325,18730,12,102.41,2020,174,0
ITEM-0000041,image,en,true,true,COLL-015,machine learning,16.89,63,22502,4,117.69,2021,233,1
ITEM-0000042,text,zh,false,true,COLL-018,video lecture,5.57,222,15710,10,25.4,2018,44,1
ITEM-0000043,pdf,de,false,true,COLL-008,policy,4.87,70,1434,2,93.75,2025,237,0
ITEM-0000044,image,es,false,true,COLL-010,poster,13.55,181,20238,18,113.73,2016,323,1
ITEM-0000045,image,de,true,true,COLL-008,audio interview,1.0,242,1959,9,69.1,2025,204,1
ITEM-0000046,text,ar,true,true,COLL-001,"policy,accessibility",17.08,71,23544,19,96.66,2020,357,1
ITEM-0000047,image,zh,false,false,COLL-016,"metadata quality,poster",8.95,128,20064,11,76.27,2016,357,1
ITEM-0000048,text,fa,false,true,COLL-011,policy,5.73,192,7839,7,99.69,2017,268,1
ITEM-0000049,pdf,de,true,true,COLL-016,"thesis,policy,poster",4.64,355,1902,8,40.84,2021,85,1
ITEM-0000050,image,ar,false,true,COLL-014,"training material,video lecture,poster",9.24,257,12261,0,11.17,2018,159,0
ITEM-0000051,pdf,fr,false,true,COLL-009,"poster,training material,audio interview",14.21,111,12554,8,36.79,2018,197,0
ITEM-0000052,image,fr,false,false,COLL-018,"digital preservation,policy",19.62,141,16825,6,35.55,2015,58,1
ITEM-0000053,pdf,en,false,false,COLL-004,metadata quality,2.5,295,1061,0,68.89,2018,300,1
ITEM-0000054,image,zh,true,true,COLL-018,"poster,linguistics",10.09,127,6756,18,75.53,2024,36,0
ITEM-0000055,image,fa,false,true,COLL-020,"accessibility,thesis,poster",15.92,280,17464,7,93.08,2018,122,1
ITEM-0000056,pdf,fa,false,true,COLL-010,thesis,5.66,332,10695,2,18.85,2016,277,0
ITEM-0000057,text,de,false,true,COLL-005,"digital preservation,accessibility",6.12,86,19877,9,84.36,2025,132,0
ITEM-0000058,pdf,it,false,true,COLL-009,"training material,policy,poster",1.66,341,1788,9,71.41,2019,338,1
ITEM-0000059,pdf,de,false,true,COLL-019,"machine learning,audio interview,linguistics",2.07,215,1604,1,106.73,2015,106,1
ITEM-0000060,image,fa,false,true,COLL-003,"video lecture,metadata quality",15.38,276,26348,5,56.46,2017,13,1
ITEM-0000061,image,fa,false,true,COLL-015,video lecture,7.0,260,15807,3,102.93,2018,85,1
ITEM-0000062,image,it,false,true,COLL-012,"policy,linguistics,machine learning",5.42,313,18244,3,116.42,2022,137,0
ITEM-0000063,pdf,de,false,true,COLL-001,"metadata quality,accessibility,thesis",4.47,274,689,17,15.72,2016,133,1
ITEM-0000064,image,zh,false,true,COLL-016,"thesis,policy",19.85,381,8849,3,55.37,2020,216,0
ITEM-0000065,pdf,zh,false,false,COLL-011,"audio interview,machine learning,linguistics",11.25,310,24640,12,22.87,2024,253,0
ITEM-0000066,image,it,false,true,COLL-018,"policy,video lecture",14.66,300,26624,18,69.59,2020,4,0
ITEM-0000067,image,it,false,true,COLL-013,"linguistics,digital preservation,policy",17.46,260,12653,7,68.62,2018,208,0
ITEM-0000068,text,es,false,true,COLL-005,"linguistics,digital preservation",19.31,219,24339,4,60.27,2024,294,0
ITEM-0000069,text,fa,false,true,COLL-016,"machine learning,poster,accessibility",1.96,253,1518,8,40.63,2024,202,0
ITEM-0000070,image,es,false,true,COLL-001,video lecture,5.08,96,29470,9,119.69,2016,39,1
ITEM-0000071,text,fr,false,true,COLL-013,"linguistics,thesis,policy",16.02,124,19112,9,43.02,2020,350,0
ITEM-0000072,image,en,false,true,COLL-010,"training material,digital preservation,accessibility",18.3,180,25902,4,27.86,2017,315,1
ITEM-0000073,text,it,false,true,COLL-013,"accessibility,thesis",9.11,377,14802,11,118.52,2022,271,1
ITEM-0000074,image,fa,false,true,COLL-002,"policy,audio interview,thesis",7.94,201,27913,11,68.98,2024,113,0
ITEM-0000075,image,fr,false,false,COLL-002,"policy,machine learning",12.34,367,11230,11,26.28,2022,220,1
ITEM-0000076,pdf,fr,false,false,COLL-012,"training material,audio interview,digital preservation",11.8,217,14670,4,10.82,2016,355,1
ITEM-0000077,pdf,fr,false,true,COLL-013,"video lecture,accessibility,metadata quality",5.51,223,14671,15,116.09,2020,93,0
ITEM-0000078,text,ar,false,true,COLL-001,"training material,video lecture,thesis",0.77,394,854,17,14.83,2021,203,1
ITEM-0000079,pdf,en,false,true,COLL-016,accessibility,13.13,204,27972,20,98.86,2016,113,1
ITEM-0000080,image,fr,false,true,COLL-016,"metadata quality,audio interview,machine learning",5.08,239,19864,17,16.28,2021,214,1
ITEM-0000081,text,ar,true,true,COLL-004,"accessibility,thesis",13.96,235,12736,6,53.21,2022,252,0
ITEM-0000082,image,de,true,true,COLL-007,"thesis,linguistics,video lecture",13.01,220,6657,19,116.53,2016,151,0
ITEM-0000083,pdf,es,false,true,COLL-001,"thesis,poster",15.6,116,9741,19,0.34,2023,349,1
ITEM-0000084,pdf,it,false,true,COLL-019,policy,6.81,265,9153,5,31.84,2023,133,0
ITEM-0000085,image,en,true,true,COLL-013,"linguistics,accessibility",10.32,316,26590,19,5.2,2020,51,1
ITEM-0000086,pdf,zh,false,true,COLL-011,"poster,training material",10.06,214,7647,14,8.82,2015,270,0
ITEM-0000087,text,de,false,true,COLL-013,"accessibility,video lecture",6.25,108,8249,16,72.65,2019,301,0
ITEM-0000088,pdf,es,false,true,COLL-012,training material,8.82,292,10001,8,44.92,2016,9,0
ITEM-0000089,image,fa,false,true,COLL-010,"audio interview,video lecture,accessibility",1.67,112,1472,17,67.4,2018,353,1
ITEM-0000090,image,ar,false,true,COLL-008,"training material,poster",11.77,164,20800,6,18.57,2018,339,0
ITEM-0000091,pdf,zh,false,true,COLL-011,"machine learning,digital preservation",12.46,386,24955,20,66.81,2015,119,1
ITEM-0000092,image,de,false,true,COLL-006,"audio interview,video lecture",17.46,122,7280,18,78.88,2016,11,0
ITEM-0000093,image,en,false,true,COLL-014,"poster,policy",15.65,129,6723,18,71.55,2023,169,0
ITEM-0000094,text,it,false,true,COLL-008,"poster,machine learning",8.58,226,8729,6,90.59,2016,90,1
ITEM-0000095,text,es,true,true,COLL-006,metadata quality,0.65,120,1671,9,113.44,2018,90,1
ITEM-0000096,image,en,false,true,COLL-003,"poster,metadata quality",10.89,231,26890,7,60.03,2019,166,0
ITEM-0000097,pdf,it,false,false,COLL-003,"accessibility,thesis",11.68,257,8774,20,50.12,2018,235,0
ITEM-0000098,text,fr,true,true,COLL-017,"thesis,video lecture,poster",9.0,208,17968,12,62.88,2017,177,1
ITEM-0000099,pdf,fr,false,true,COLL-003,linguistics,14.68,102,12742,20,97.8,2017,318,0
ITEM-0000100,image,ar,false,true,COLL-015,"audio interview,linguistics,machine learning",10.14,398,19709,18,91.19,2024,253,1
ITEM-0000101,text,es,false,false,COLL-003,"poster,training material,metadata quality",7.36,69,19808,2,37.25,2019,50,0
ITEM-0000102,image,de,false,true,COLL-005,policy,9.52,71,29212,17,114.51,2025,71,1
ITEM-0000103,pdf,it,false,true,COLL-020,video lecture,2.52,308,272,10,117.89,2015,161,0
ITEM-0000104,image,ar,true,true,COLL-013,"audio interview,poster",7.77,397,16087,9,46.49,2023,311,0
ITEM-0000105,image,fa,false,true,COLL-003,"training material,metadata quality",17.53,122,26745,10,9.78,2018,175,1
ITEM-0000106,image,fa,false,true,COLL-010,thesis,13.05,400,26958,10,97.58,2022,90,0
ITEM-0000107,pdf,en,false,false,COLL-020,poster,7.16,129,9507,15,23.04,2018,116,0
ITEM-0000108,text,en,false,true,COLL-008,"poster,audio interview",7.85,369,27703,5,21.7,2023,32,0
ITEM-0000109,pdf,ar,false,true,COLL-015,"audio interview,metadata quality",15.17,208,12837,14,28.08,2025,50,1
ITEM-0000110,text,en,false,false,COLL-018,training material,10.31,359,11543,13,115.95,2024,289,0
ITEM-0000111,image,fr,false,true,COLL-008,"video lecture,machine learning",17.1,189,10253,9,10.07,2025,56,1
ITEM-0000112,pdf,en,false,true,COLL-011,digital preservation,8.59,247,12725,12,60.24,2019,75,0
ITEM-0000113,pdf,es,true,true,COLL-005,"poster,training material,metadata quality",1.25,290,384,15,83.53,2021,329,1
ITEM-0000114,image,it,true,true,COLL-016,"training material,machine learning,linguistics",2.67,74,349,9,28.52,2019,259,0
ITEM-0000115,image,fa,false,true,COLL-017,"accessibility,training material",11.71,364,5051,4,34.95,2017,255,1
ITEM-0000116,text,ar,false,true,COLL-003,"thesis,accessibility",11.11,290,17794,16,66.5,2022,47,0
ITEM-0000117,image,fr,false,true,COLL-016,"digital preservation,linguistics,accessibility",15.54,329,16544,10,16.01,2024,46,1
ITEM-0000118,pdf,ar,false,true,COLL-018,"audio interview,machine learning",14.46,72,11605,14,4.44,2024,342,0
ITEM-0000119,pdf,ar,false,true,COLL-015,"video lecture,digital preservation",15.19,385,6566,6,34.33,2018,24,1
ITEM-0000120,text,es,false,false,COLL-006,"audio interview,video lecture,accessibility",10.18,186,22015,15,44.08,2023,57,0
ITEM-0000121,text,ar,false,true,COLL-012,"metadata quality,audio interview,machine learning",2.06,268,1334,9,36.78,2022,269,0
ITEM-0000122,pdf,fr,false,true,COLL-015,digital preservation,1.96,397,1150,20,48.75,2025,250,0
ITEM-0000123,pdf,it,false,true,COLL-003,"digital preservation,training material,video lecture",1.81,340,884,20,43.96,2021,287,0
ITEM-0000124,image,fa,false,true,COLL-009,"policy,thesis,audio interview",8.26,63,8717,20,33.44,2020,219,0
ITEM-0000125,image,it,false,true,COLL-011,"video lecture,accessibility,training material",14.03,87,9447,15,24.02,2016,343,1
ITEM-0000126,text,de,false,true,COLL-005,policy,11.07,376,28324,9,102.16,2023,329,0
ITEM-0000127,pdf,es,false,false,COLL-016,"metadata quality,linguistics,accessibility",1.01,332,1057,17,68.67,2021,315,0
ITEM-0000128,image,fr,false,true,COLL-017,accessibility,2.94,288,1021,10,77.08,2016,161,1
ITEM-0000129,image,zh,false,true,COLL-018,"digital preservation,audio interview",10.6,165,15572,9,19.76,2025,228,1
ITEM-0000130,image,ar,false,true,COLL-001,machine learning,12.48,353,10525,2,60.31,2016,337,0
ITEM-0000131,image,en,false,true,COLL-010,"audio interview,policy,thesis",19.0,342,11907,18,31.76,2021,340,1
ITEM-0000132,text,it,false,true,COLL-005,"video lecture,linguistics",16.19,80,7391,12,35.69,2019,340,0
ITEM-0000133,pdf,it,false,true,COLL-005,machine learning,19.52,337,21874,4,91.28,2018,212,0
ITEM-0000134,text,ar,false,true,COLL-017,"policy,audio interview",6.16,177,18701,12,103.7,2024,46,0
ITEM-0000135,image,ar,true,true,COLL-020,"linguistics,policy,audio interview",10.2,284,21562,2,113.43,2017,151,0
ITEM-0000136,pdf,fa,true,true,COLL-012,"audio interview,accessibility,metadata quality",10.97,237,13666,3,51.71,2019,38,1
ITEM-0000137,pdf,fa,false,false,COLL-018,"digital preservation,thesis",10.33,398,25422,17,33.57,2016,163,0
ITEM-0000138,text,it,false,true,COLL-017,video lecture,12.25,69,6484,12,60.01,2023,1,0
ITEM-0000139,image,it,false,true,COLL-001,"video lecture,accessibility",18.66,203,25201,10,19.5,2020,252,1
ITEM-0000140,text,zh,false,true,COLL-019,"thesis,machine learning,policy",19.61,372,28767,18,36.92,2021,253,0
ITEM-0000141,image,de,true,false,COLL-004,machine learning,3.82,244,1686,20,86.54,2024,79,0
ITEM-0000142,image,it,false,true,COLL-002,"digital preservation,training material,thesis",9.1,154,27626,13,18.17,2020,230,1
ITEM-0000143,image,ar,false,true,COLL-009,"policy,thesis,poster",11.44,138,15281,15,63.06,2025,84,1
ITEM-0000144,image,it,false,true,COLL-009,"accessibility,poster",5.94,197,14752,9,26.98,2022,271,0
ITEM-0000145,pdf,zh,false,true,COLL-015,"audio interview,policy,thesis",13.69,226,17928,12,107.49,2018,94,0
ITEM-0000146,image,de,false,true,COLL-017,linguistics,4.44,189,1251,17,32.54,2016,83,0
ITEM-0000147,pdf,en,false,false,COLL-006,"linguistics,policy",5.04,291,28506,3,49.6,2022,234,0
ITEM-0000148,pdf,es,false,true,COLL-002,metadata quality,9.81,214,14412,6,90.71,2022,89,1
ITEM-0000149,image,zh,false,true,COLL-019,"accessibility,video lecture,audio interview",17.7,253,6190,5,112.07,2017,33,1
ITEM-0000150,pdf,es,false,true,COLL-009,"digital preservation,machine learning,video lecture",9.36,118,21184,20,65.2,2018,22,1
ITEM-0000151,text,ar,true,true,COLL-006,policy,15.92,139,11329,18,80.93,2024,101,1
ITEM-0000152,text,ar,false,true,COLL-001,"linguistics,video lecture",6.81,170,17568,7,0.82,2023,166,1
ITEM-0000153,image,zh,false,true,COLL-010,"poster,thesis",14.01,207,20250,1,80.13,2019,200,0
ITEM-0000154,image,it,false,true,COLL-007,linguistics,4.77,360,1031,4,57.38,2019,243,1
ITEM-0000155,image,es,true,true,COLL-017,poster,15.22,235,22307,2,63.06,2025,105,0
ITEM-0000156,pdf,it,true,true,COLL-002,"digital preservation,training material",10.96,276,22050,5,39.37,2022,230,0
ITEM-0000157,pdf,fa,false,true,COLL-007,"accessibility,machine learning,metadata quality",8.6,394,20151,18,6.93,2023,41,1
ITEM-0000158,text,fa,false,true,COLL-014,"metadata quality,policy",7.22,85,6974,2,64.94,2015,130,1
ITEM-0000159,text,es,false,true,COLL-017,thesis,17.46,388,27371,12,45.08,2022,120,0
ITEM-0000160,text,de,false,true,COLL-009,accessibility,16.78,394,20171,0,117.42,2020,353,1
ITEM-0000161,pdf,es,false,true,COLL-002,machine learning,1.13,58,1909,13,73.79,2017,114,0
ITEM-0000162,text,de,false,true,COLL-011,"poster,video lecture,thesis",8.34,78,29719,7,64.77,2020,238,0
ITEM-0000163,text,en,false,true,COLL-006,"linguistics,metadata quality,training material",6.38,163,22080,4,118.28,2018,135,1
ITEM-0000164,text,fa,false,true,COLL-018,"thesis,linguistics",10.16,245,26998,11,112.99,2022,296,1
ITEM-0000165,image,fr,false,true,COLL-011,"accessibility,policy,video lecture",6.36,337,6888,4,96.69,2019,246,1
ITEM-0000166,pdf,de,false,true,COLL-018,policy,2.3,394,872,6,6.18,2024,292,0
ITEM-0000167,pdf,es,false,true,COLL-008,"poster,thesis,metadata quality",4.57,57,1961,10,36.38,2025,186,0
ITEM-0000168,image,ar,false,true,COLL-016,"accessibility,policy",18.34,244,14275,17,38.59,2020,360,1
ITEM-0000169,image,de,false,true,COLL-018,"poster,metadata quality,audio interview",15.35,210,17147,10,109.72,2015,188,1
ITEM-0000170,image,ar,false,true,COLL-016,"digital preservation,video lecture",3.47,175,1266,10,27.6,2021,64,1
ITEM-0000171,pdf,es,false,true,COLL-001,"digital preservation,thesis",3.8,327,1977,17,58.6,2020,321,0
ITEM-0000172,image,it,false,true,COLL-018,"metadata quality,machine learning,poster",1.83,283,1135,4,1.1,2015,248,1
ITEM-0000173,pdf,es,false,true,COLL-008,poster,10.82,58,14394,8,64.29,2024,16,1
ITEM-0000174,text,it,false,false,COLL-008,"linguistics,accessibility",10.77,90,18005,11,32.08,2025,277,1
ITEM-0000175,image,it,true,true,COLL-006,policy,13.25,257,8063,20,91.15,2019,84,1
ITEM-0000176,pdf,it,false,false,COLL-009,"poster,machine learning,digital preservation",16.98,98,23541,20,94.13,2017,211,0
ITEM-0000177,image,fa,false,true,COLL-019,poster,18.61,350,11788,10,1.88,2023,160,0
ITEM-0000178,image,fr,false,true,COLL-003,"video lecture,machine learning,accessibility",16.78,219,22713,12,81.24,2023,173,1
ITEM-0000179,text,en,false,true,COLL-015,"thesis,video lecture",9.02,354,25115,2,40.87,2023,247,1
ITEM-0000180,image,zh,false,true,COLL-003,"digital preservation,metadata quality",11.28,349,27272,12,51.82,2015,352,1
ITEM-0000181,pdf,en,false,true,COLL-009,digital preservation,14.38,212,17767,20,18.51,2016,72,1
ITEM-0000182,pdf,es,false,true,COLL-020,"metadata quality,machine learning",2.2,312,1236,13,53.86,2016,59,1
ITEM-0000183,image,fr,false,true,COLL-009,"audio interview,policy",6.19,336,28751,12,93.5,2021,151,0
ITEM-0000184,pdf,ar,false,true,COLL-016,"poster,thesis,policy",3.35,203,962,5,52.16,2023,284,1
ITEM-0000185,text,it,false,true,COLL-020,audio interview,2.59,220,910,9,0.81,2024,7,1
ITEM-0000186,image,it,false,true,COLL-011,"audio interview,metadata quality",6.75,253,10820,6,57.48,2018,98,1
ITEM-0000187,image,it,false,true,COLL-010,"accessibility,metadata quality,policy",7.62,142,22879,18,23.98,2025,251,0
ITEM-0000188,text,es,false,true,COLL-019,"training material,linguistics",3.21,128,1448,9,29.04,2023,311,1
ITEM-0000189,pdf,ar,false,true,COLL-019,"linguistics,metadata quality,video lecture",18.51,324,16781,13,65.24,2016,83,0
ITEM-0000190,image,de,false,true,COLL-019,"training material,digital preservation,video lecture",19.33,182,8231,13,12.71,2020,266,0
ITEM-0000191,image,fr,false,true,COLL-007,"policy,video lecture,linguistics",19.96,93,18630,15,12.55,2024,119,0
ITEM-0000192,text,es,false,true,COLL-008,"digital preservation,training material,linguistics",2.4,72,714,14,38.27,2015,93,0
ITEM-0000193,image,fa,false,true,COLL-007,"poster,metadata quality",6.95,257,12597,13,115.02,2017,33,0
ITEM-0000194,image,fr,false,true,COLL-004,"linguistics,policy",8.08,82,29652,6,24.69,2023,353,0
ITEM-0000195,pdf,ar,false,true,COLL-006,"audio interview,poster,accessibility",10.79,362,17734,20,37.61,2021,213,1
ITEM-0000196,image,fr,false,true,COLL-005,"metadata quality,linguistics,digital preservation",13.61,109,15006,10,14.14,2019,69,0
ITEM-0000197,text,fr,false,true,COLL-020,video lecture,9.99,138,26143,17,83.21,2020,180,0
ITEM-0000198,image,it,false,true,COLL-016,accessibility,19.06,337,17581,15,16.38,2019,215,1
ITEM-0000199,text,it,false,true,COLL-004,"training material,video lecture",11.53,165,14006,7,35.05,2016,324,1
ITEM-0000200,pdf,de,false,false,COLL-015,"video lecture,accessibility",11.07,329,19462,1,91.2,2019,281,0
ITEM-0000201,image,fa,false,true,COLL-007,machine learning,9.06,157,12764,3,93.08,2024,240,1
ITEM-0000202,text,zh,false,false,COLL-017,"accessibility,digital preservation,metadata quality",11.62,136,22654,17,33.73,2022,327,1
ITEM-0000203,image,ar,false,true,COLL-013,"digital preservation,poster",18.42,117,9157,8,104.05,2016,235,0
ITEM-0000204,image,zh,false,false,COLL-015,"video lecture,poster",12.83,88,19810,20,49.71,2019,190,0
ITEM-0000205,pdf,fa,false,true,COLL-007,"audio interview,video lecture",0.55,375,1038,2,87.71,2024,196,1
ITEM-0000206,text,en,true,true,COLL-015,accessibility,16.65,339,9279,10,65.68,2023,307,1
ITEM-0000207,pdf,zh,false,false,COLL-009,linguistics,18.62,269,5022,5,52.95,2022,264,0
ITEM-0000208,image,zh,false,true,COLL-014,"accessibility,linguistics,machine learning",7.53,134,26263,2,44.62,2019,163,0
ITEM-0000209,pdf,ar,false,false,COLL-014,"digital preservation,policy,accessibility",4.66,315,563,2,15.92,2015,39,1
ITEM-0000210,text,fr,false,true,COLL-005,"linguistics,digital preservation,accessibility",4.96,102,309,2,87.69,2019,45,1
ITEM-0000211,pdf,fr,false,true,COLL-015,accessibility,10.84,275,10377,0,73.24,2023,38,1
ITEM-0000212,text,ar,false,true,COLL-003,training material,17.98,246,24319,4,90.29,2025,293,1
ITEM-0000213,image,de,false,true,COLL-002,policy,12.22,63,27625,19,34.19,2017,111,1
ITEM-0000214,text,fr,false,true,COLL-014,"training material,digital preservation",8.02,86,24461,7,59.95,2019,19,0
ITEM-0000215,pdf,en,false,true,COLL-010,"training material,metadata quality,poster",15.37,57,7212,2,2.0,2017,153,1
ITEM-0000216,pdf,zh,true,false,COLL-005,"video lecture,metadata quality,accessibility",14.19,365,22617,2,76.86,2018,41,0
ITEM-0000217,text,es,false,true,COLL-010,"linguistics,digital preservation,accessibility",6.55,79,12819,13,87.6,2015,354,0
ITEM-0000218,image,zh,false,true,COLL-009,"accessibility,machine learning,video lecture",0.75,304,435,4,84.18,2020,317,1
ITEM-0000219,text,ar,true,false,COLL-006,"digital preservation,audio interview",16.24,345,13616,8,62.86,2020,207,0
ITEM-0000220,pdf,de,true,true,COLL-005,machine learning,15.58,166,8779,18,80.89,2015,181,0
ITEM-0000221,image,ar,false,true,COLL-012,training material,11.28,177,15544,20,50.32,2025,99,1
ITEM-0000222,text,zh,false,true,COLL-003,"policy,machine learning,video lecture",13.63,73,21900,1,21.52,2015,283,1
ITEM-0000223,text,it,false,true,COLL-018,digital preservation,4.41,368,1614,18,94.14,2020,75,0
ITEM-0000224,text,en,false,true,COLL-010,thesis,0.62,227,1209,13,2.87,2025,243,0
ITEM-0000225,pdf,de,false,true,COLL-012,"accessibility,poster",10.83,122,6962,7,50.38,2016,17,1
ITEM-0000226,image,fr,false,true,COLL-011,"video lecture,linguistics",2.36,88,907,4,76.47,2019,321,0
ITEM-0000227,pdf,fr,false,true,COLL-004,"video lecture,thesis,policy",9.33,119,11642,7,8.96,2016,272,0
ITEM-0000228,image,en,false,false,COLL-005,thesis,6.51,130,7962,8,102.3,2024,98,1
ITEM-0000229,pdf,en,false,false,COLL-018,"training material,thesis,accessibility",19.38,203,27189,12,61.62,2024,73,1
ITEM-0000230,text,ar,false,false,COLL-003,"poster,audio interview,accessibility",9.51,163,7020,4,14.57,2017,81,0
ITEM-0000231,text,es,true,true,COLL-006,"metadata quality,linguistics,policy",0.93,277,1422,2,23.73,2016,12,0
ITEM-0000232,text,fr,true,true,COLL-008,"audio interview,policy,metadata quality",1.07,145,539,13,20.74,2018,51,1
ITEM-0000233,pdf,de,false,true,COLL-001,"video lecture,policy",17.71,246,14167,15,7.32,2019,257,0
ITEM-0000234,text,fr,true,true,COLL-001,"machine learning,policy",11.12,307,23535,15,41.28,2019,130,1
ITEM-0000235,pdf,zh,false,true,COLL-002,poster,10.82,101,10230,18,119.95,2022,134,0
ITEM-0000236,text,ar,false,true,COLL-012,"poster,digital preservation,thesis",17.01,140,10692,12,42.58,2021,235,0
ITEM-0000237,pdf,de,false,true,COLL-016,video lecture,16.82,301,10752,15,65.05,2016,5,0
ITEM-0000238,pdf,fr,false,false,COLL-004,"video lecture,accessibility,linguistics",18.4,140,16165,6,96.77,2015,244,1
ITEM-0000239,pdf,fa,false,false,COLL-011,training material,14.24,204,16028,12,70.32,2016,194,1
ITEM-0000240,text,zh,false,true,COLL-019,"poster,machine learning",14.02,390,12315,19,94.44,2019,89,0
ITEM-0000241,text,fr,false,true,COLL-012,"digital preservation,accessibility",4.05,163,1352,10,110.52,2025,184,0
ITEM-0000242,pdf,de,false,true,COLL-004,"machine learning,linguistics,metadata quality",16.52,278,16001,20,87.51,2017,356,0
ITEM-0000243,image,fa,false,true,COLL-019,"linguistics,thesis,digital preservation",9.05,302,18566,13,116.29,2018,343,1
ITEM-0000244,text,fr,false,true,COLL-003,"accessibility,video lecture,policy",9.3,183,15443,1,35.39,2015,304,0
ITEM-0000245,pdf,es,false,false,COLL-014,"training material,linguistics,audio interview",14.24,360,10406,13,113.09,2016,279,1
